,question,answer
286,Как вывести значение переменной?,"Добрый день, Виктория! Вы задали вопрос по заданию про вывод значений переменных эту задачу можно решить двумя способами: 1) просто вывести строчку, которую ожидает наш бот, как ответ на задачу — print(“ a = True b = False ”) 2) создать переменную a=True, создать переменную b=False, вывести их значения используя следующую запись — print(“a =”, a, “ b =”, b)"
287,спасибо,"Если возникнут вопросы, обязательно пишите!)"
288,"Есть задача : Создайте переменную a, хранящую строку ""Inno"", и переменную b, хранящую строку ""polis"". Выведите значение этих переменных следующим образом: polis Inno Мой ответ a = ""Inno"" b = ""polis"" print(b,a) почему-то не проходит еще раз попробовала - прошло, бот тупит или я","Отлично! В целом, код требует внимательного обращения, бывает, что пользователь забывает поставить в нужном месте запятую и код не воспринимается. В целом, наша платформа принимает различные написания решений и в этом она очень гибкая, главное внимательно писать код и не забывать все необходимые элементы😊🧑‍💻 Никогда не поздно начать, даже если это последний месяц осени в этом году 👨‍💻🔥 Виктория, переходи на нашу платформу INNOPROG , вводи в строке сообщения промокод: /goIT и получай скидку 15% на обучение по тарифам MEDIUM и PRO 👈😉 * Акция действует до 25.11.2023 г . Виктория, добрый вечер! 👋 Вы ещё рассматриваете обучение программированию на нашей платформе? 🧑‍💻"
289,да,"Виктория, скажите, пожалуйста, трудностей с работой сервиса или оплаты услуг больше не предвиделось?"
290,нет,Благодарим за обратную связь 😊
291,"Я пыталась вам оплатить сейчас, пришел ли платеж? от Нефедовой",Добрый день! Во сколько по времени примерно Вы пытались это сделать?
292,вот в 4 часа дня,"Наблюдаем попытку оплаты сегодня в 16:01. Но указано, что не оплачено. Возникли ли какие-либо сложности во время процесса оплаты?"
293,"да, получается, у меня деньги украли с карты((( я вам хотела уже перевести, зашла в кабинет к себе увидела там 0 рублей, ну подумала может деньги без уведомления на телефон отправились","А когда оплачивали, Вас просили ввести код через SMS? Давайте сейчас мы уточнить информацию в банке Каким банком Вы пользуетесь?"
294,"Росбанк да просили код ввести, но код так и не пришел","Приняли информацию, уточняем Ошибка скорей всего связана с Вашим банком, так как мы как компания не отвечаем за высылание кода подтверждения. Наш банк сообщил что мы, к сожалению, не имеем право получить информацию, почему не был выслан Вам код, данная возможность есть только у Вас. Можете, пожалуйста, позвонить в Ваш банк и уточить, почему такое произошло"
295,"у меня украли деньги оттуда(( был заход с хаоми устройства, это не мой телефон спасибо что уточняли","Приносим свои сожаления(( Сообщите данную информацию в банк, думаю, он Вам должен помочь разобраться в данной ситуации. Если мы сможем чем-то помочь, дайте, пожалуйста, знать 🙏 Видим Вашу оплату! Желаем успехов в изучении👍 Если будут вопросы, мы на связи)"
296,Спасибо! Значит деньги не украли),Отлично)
297,"а как мне перейти к тому на чем я оставилась? потому что я нажала на модулб начальный мне все сначала предлагается пройти или вот я нажала там самое последнее - тернарный оператор, на этом все в начальном уровне?",Пришлите скриншот тем
298,все я нашла сама)),"Самая последняя тема, которая у Вас открыта, это и есть там, где Вы остановись)"
299,что значит базовая интенсивность?,"Раздел интенсивности в индивидуальном порядке для каждого пользователя составляет ежедневную норму решения задач. Чем выше интенсивность, тем выше скорость обучения и освоения материала. Каждые несколько дней мы анализируем ваш прогресс и высылаем вам сообщение о вашей интенсивности. Это дает нам понимание ваших навыков, текущего прогресса, hard и soft skills для определения вас в дальнейшем на стажировку в компании."
300,"понятно, спасибо я не знаю как делать задачу Пользователь вводит числа через пробел. С этой последовательностью проводят следующие оперции: первое число складывают со вторым, из результата вычитают третье, потом еще раз складывают со следующим и так до конца. Выведите результат выражения. Например, в программу подаются числа 10, 3, 4 ,9. Результатом выражения будет 10+3-4+9=18 a = list(map(int, input().split())) b = 0 for i in range(len(a)): if i == 2: b -= a[i] else: b += a[i] print(b)","Добрый день, Виктория! В данной задаче сложение чередуется с вычитанием, соответственно, потребуется в условии указать, что индекс элемента мы вычитании должен быть четным: if i % 2 == 0: ... Однако этого недостаточно, так как первый элемент в самом начале уже должен иметь значение первого элемента последовательности и к нему последующее число должно прибавляться. Поэтому здесь в самом начале переменной b мы присвоим значение a[0] и начнем цикл со второго элемента: b = a[0] for i in range(1, len(a)): if i % 2 == 0: ..."
301,"спасибо бот почему-то не принимает a = (0, 1, 2) print(print(type(a) == tuple)) будет True None по всякому попробовала - не выходит","Подскажите, пожалуйста, какое именно задание?)"
302,"Задание 4 из 6 Что выведет программа? a = (0, 1, 2) print(print(type(a) == tuple))","Секунду, проверяем)"
303,окей вот теперь принимает),Отлично) Спасибо!
304,я внештатным тестировщиком у вас поработаю)),"К сожалению, иногда случаются сбои, стараемся их оперативно исправлять. Спасибо, Виктория, за Вашу обратную связь!)"
305,"а вам за курс, проходить интересно, даже если где-то застрешаешь",Мы очень рады)
306,"😊 дошла до матриц и тут хуже пошло у меня вот код не проходит n = int(input()) arr = [] for i in range(n): temp = [] for j in range(n): temp.append(0) arr.append(temp.copy()) for row in arr: for elem in row: print(elem, end=' ') print() Задание 4 из 9 Условие Пользователь вводит число n. Создайте двумерный список размером n на n, заполненный нулями, выведите элементы этого списка через пробел по n элементов в строке, всего n строк. Входные данные 5 Выходные данные 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0","Какой именно тест не проходит? В данном случае бот ожидает ответ, где в конце каждой строки нет лишних пробелов)"
307,"INNOPROG, [11/13/23 11:43 PM] ❌ Неверный ответ на тесте №1 INNOPROG, [11/13/23 11:43 PM] ❌ Подсказка пользователь ввел: 1 у меня вывод 0 а какой должен быть ответ? n = int(input()) arr = [] for i in range(n): temp = [] for j in range(n): temp.append(0) arr.append(temp.copy()) for row in arr: for elem in row: print(elem, end='') print()","Да, это верно)"
308,"INNOPROG, [11/13/23 11:47 PM] ❌ Неверный ответ на тесте №1 INNOPROG, [11/13/23 11:47 PM] ❌ Подсказка пользователь ввел: 5","Проблема вот здесь. К примеру, для входных данных 3 ответ должен быть: 0 0 0 0 0 0 0 0 0 А в Вашем случае получается 0 0 0_ 0 0 0_ 0 0 0_ Только вместо нижних подчеркиваний у Вас в это решении пробелы Их нужно убрать)"
309,"попробовала вот так n = int(input()) arr = [] for i in range(n): temp = [] for j in range(n): temp.append(0) arr.append(temp.copy()) for row in arr: for elem in row: print(str(elem).strip(), end=' ') print() не не сработало","Проблема здесь заключается в end=' '. Попробуйте поставить условие, что если это последний элемент, то в конце пробел не ставится Удалось справиться с задачей?)"
310,"нет, не получается. А как-то можно пропустить их и дальше пойти или это невозможно?","Пропускать задачи нельзя — каждая задача важна для понимания темы, а также для закрепления прошлых тем. Чем дальше вы идете по модулю, тем сложнее становятся задачи. Попробуйте пробегаться не по самим элементам списка во второй части программы (именно во втором вложенном цикле), создать в for переменную i — индекс элемента, и проверять его"
311,"я попробовала вот так n = int(input()) arr = [] for i in range(n): temp = [] for j in range(n): temp.append(0) arr.append(temp.copy()) for row in arr: for i in range(len(row)): if i == len(row) - 1: print(end='') print(row[i], end=' ') print() но тоже не принимает( и так тоже я застряла((( не понимаю как убрать пробелы, помогите",А что именно пишет? Ошибка в тесте?
312,❌ Неверный ответ на тесте №1,"n = int(input()) arr = [] for i in range(n): temp = [] for j in range(n): temp.append(0) arr.append(temp.copy()) for row in arr: for i in range(len(row)): if i == len(row) - 1: print(row[i]) else: print(row[i], end=' ') Нужно добавить else Потому что после проверки if ваша программа в любом случае вставит пробел Получилось?"
313,"получилось, как же я дальше-то буду((","Мы заметили, что ваш прогресс по модулю очень хороший, видно, что вы прикладываете много усилий для обучения — это очень здорово! Вы большая молодец! Последняя задача на самом деле не такая сложная, просто бывает такое, что простые вещи никак не укладываются в голове. Это обычно связано с усталостью или настроением. Рекомендуем немного отдохнуть/отвлечься и приступить к прохождению модуля с новыми силами!) Для более детальной консультации по темам вы можете воспользоваться индивидуальным занятием с наставником"
314,"хорошо спасибо почему-то не проходит ответ def f(n): return math.floor(n) Условие Пользователь вводит нецелое число n. Напишите программу, которая округлит число n в меньшую сторону. Используйте модуль math Входные данные 34.36363636363637 Выходные данные 34","Виктория, при отправке боту Вы случайно не забыли импортировать библиотеку math?"
315,"да, и с библиотекой тоже посылала import math def f(n): return math.floor(n)",А вызов функции?
316,вызов нет),Попробуйте)
317,теперь пишет ❌ Неверный ответ на тесте №2,Как именно указали вызов?
318,import math def f(n): return math.floor(n) print(f(34.36363636363637)) и так import math def f(n): return math.floor(n) f(34.36363636363637),"Данная задача, как и многие раннее, подразумевает ввод с клавиатуры, именно поэтому наша система тестирования прогоняет около 10 тестов, где вводят свои входные данные. Используйте int(input()) и полученное значение с клавиатуры передавайте в функцию)"
319,вот так прошел import math a = float(input()) def f(n): return math.floor(n) print(f(a)),"Точно, Вы правы, совсем не обратив внимание, что входные данные дробные. Вы молодец!"
320,"не понимаю как надо решить следующую задачу Условие Пользователь вводит нецелое число n - градусы. Напишите программу, которая выведет синус угла n. Используйте модуль math Входные данные 36.148148148148145 Выходные данные 0.5898751384546648 у меня вот так import math a = float(input()) def radius(degree): return math.sin(degree) print(radius(a)) import math a = float(input()) def sin_elem(degree): return math.sin(degree) print(radius(a))","Добрый день! Функция sin() принимает значения в аргумент как радианы, а вы подаете градусы. Вам потребуется сначала переменную degree перевести в радианы, а уже только потом вызвать функцию sin()"
321,import math a = float(input()) def sin_elem(degree): angle_radians = math.radians(degree) return math.sin(angle_radians) print(sin_elem(a)) получилось,Отлично!
322,непоняла из лекции Что из этого не является типом данных в Python? тип true не является а типо none тоже по идее не тип данных,А какие были варианты ответов в данном вопросе?
323,"none, str, true, list","true не является типом данных в Python, так как это значение. Тип данных это bool . А все остальные перечисленные варианты ответов - являются типами данных"
324,"понятно, спаасибо почему-то не проходит код n = int(input()) b = int(input()) cnt = 2 for i in range(cnt): if n % cnt == 0 and b % cnt == 0: print(cnt) break cnt = cnt + 1 Условие Пользователь вводит числа a и b, найти наибольший общий делитель Входные данные 90 183 Выходные данные 3","Так как в данной задачи Вы находите наименьший общий делитель, а требуется наибольший. Например, входные данные: 98 56 Ответ должен быть 14 Ваша программы выдает 2"
325,понятно спасибо теперь вот 3 тест не проходит,"Вышлите Ваш код, пожалуйста)"
326,"n = int(input()) b = int(input()) cnt = 2 arr = [] if n > b: n, b = b, n i = b for j in range(i): if n % cnt == 0 and b % cnt == 0: arr.append(cnt) cnt = cnt + 1 if len(arr) == 0: print(n * b) else: print(max(arr))","Здесь требуется запустить цикл в обратном порядке. То есть начинать не с 2 счетчик, а с наименьшего из двух введенных чисел, и уменьшать данное значение, пока не сработает условие"
327,"у меня получилось так n = int(input()) b = int(input()) cnt = 2 arr = [] if n > b: n, b = b, n i = b for j in range(i): if n % cnt == 0 and b % cnt == 0: arr.append(cnt) cnt = cnt + 1 if len(arr) == 0: print(1) else: print(max(arr))","Выглядит верно, бот не принимает?"
328,"принимает спасибо за пояснения здравствуйте! я решила задачу Задание 5 из 5 Условие Пользователь вводит число n, затем вводит n строк. Найти строки, у которых совпадают последние 2 символа, и вывести их номера через пробел в порядке возрастания (первая строка имеет номер 1, выводить только уникальные номера строк). Выведите -1 если таких строк нет Входные данные 7 IMFHK TABVJPPTU EWXT GISMXWD BNUIWYU OOAQAAX CJAX Выходные данные 6 7 вот так n = int(input()) arr = [] for i in range(n): a = input() arr.append(a) lst = [] counter = 1 for a in arr: lst.append(a[-2:]) dupes = [x for n, x in enumerate(lst) if x in lst[:n]] if len(dupes) == 0: print(-1) def listToString(s): str1 = """" for ele in s: str1 += ele return str1 strdup = listToString(dupes) for i in range(len(lst)): if lst[i] == strdup: print(i+1, end="" "") может ее как-то покороче можно было решить?","Виктория, добрый день! Решение выглядит и вправду непростым, но и задача требует более массивного кода, чем обычно. Однако, я могу предложить следующее решение: matching_indexes = [] n = int(input()) input_strings = [] for i in range(n): input_strings.append(input()) for i in range(len(input_strings)): for j in range(i + 1, len(input_strings)): if input_strings[i][-2:] == input_strings[j][-2:]: if (i + 1) not in matching_indexes: matching_indexes.append(i + 1) if (j + 1) not in matching_indexes: matching_indexes.append(j + 1) matching_indexes.sort() if matching_indexes: output = matching_indexes else: output = [-1] print(*output)"
329,"спасибо, буду разбираться","Если будут вопросы, задавайте)"
330,"спасибо! Условие Пользователь вводит строку, найдите самую длинную последовательность из повторяющихся символов не учитывая регистр, выведите длину этой последовательности. Входные данные XtZuuUpVDUzVwHNVXCvNTjWcGEfLnnknIV Выходные данные 3 не получается получить строку s = input().lower() lst = [] for i in s: lst.append(i) print(lst) cet = """" for i in range(len(lst)-1): if lst[i] == lst[i+1]: cet += lst[i] print(cet) выходит почему-то uun вот так попробовала тоже не получилось s = input().lower() lst = [] for i in s: lst.append(i) print(lst) cet = """" for i in range(len(lst)-1): for j in range(i+1, len(lst)-1): if lst[i] == lst[j]: cet += lst[i] break print(cet)","Это решение ближе к правде) Только здесь нужно найти максимальную длину последовательности, поэтому cet вы набираете текущую последовательность, но здесь нужно проверять else. И если программа попала в else, то искать максимально значение строки (надо отдельную создать переменную) и в нее накапливать число с максимальной длиной строки. А строку cet очищать"
331,какое именно решение первое или второе?,Первое
332,"вот так попробовала тоже не выходит s = input().lower() lst = [] for i in s: lst.append(i) cet = """" ln = 0 for i in range(len(lst)-1): if lst[i] == lst[i+1]: cet += lst[i] ln += 1 else: if len(cet) > ln: ln = len(cet) cet = """" print(ln)","Ошибка заключается в начальном значении переменной ln = 0 Так как если не найдена была последовательность элементов, значит хотя бы один символ точно имеется"
333,не понимаю это задание попробовала на стаковерфлоу заминусили(,ln = 1
334,это я уже пробовала,"На каком тесте падает? А, ln += 1 надо убрать) Так как оно должно обновляться только в момент, когда были найдены разные буквы Или в самом конце, что тоже может быть"
335,"вот так s = input().lower() lst = [] for i in s: lst.append(i) cet = """" ln = 1 for i in range(len(lst)-1): if lst[i] == lst[i+1]: cet += lst[i] else: if len(cet) > ln: ln = len(cet) cet = """" print(ln+1) падает н а5 тесте","s = input().lower() lst = [] for i in s: lst.append(i) cet = """" ln = 1 for i in range(len(lst)-1): if lst[i] == lst[i+1]: cet += lst[i] else: if len(cet)+ 1 > ln: ln = len(cet) + 1 cet = """" if len(cet) + 1 > ln: ln = len(cet) + 1 print(ln) Попробуйте этот код. Если что-то непонятно, что я изменил, давайте объясню"
336,"да вот это не понимаею if len(cet)+ 1 > ln: ln = len(cet) + 1 cet = """"","Возьмем пример, что входная строка будет ""bbb"". В таком случае len(cet) будет равно 2, а не 3, так как он два раза зайдет внутрь и положит символ в строку. Поэтому я беру на 1 больше"
337,"понятно пока я решала задачи я увидела появившиеся объявление INNOPROG, [11/16/23 8:04 PM] Спасибо, мы в ближайшее время свяжемся с тобой! 📞 Можешь сам написать нам @innoprog_admin 📝 что это значит?",Это Вы задали вопрос нам через бота)
338,понятно) не понимаю как сделать как у вас на выходе,Какой именно момент?
339,"Пользователь вводит число n. Выведите таблицу размером n×n, заполненную числами от 1 до n^2 по спирали, выходящей из левого верхнего угла и закрученной по часовой стрелке, как показано в примере 1 2 3 4 5 16 17 18 19 6 15 24 25 20 7 14 23 22 21 8 13 12 11 10 9 Входные данные 9 Выходные данные 1 2 3 4 5 6 7 8 9 32 33 34 35 36 37 38 39 10 31 56 57 58 59 60 61 40 11 30 55 72 73 74 75 62 41 12 29 54 71 80 81 76 63 42 13 28 53 70 79 78 77 64 43 14 27 52 69 68 67 66 65 44 15 26 51 50 49 48 47 46 45 16 25 24 23 22 21 20 19 18 17 n = int(input()) m = [] for i in range(n): m.append([]) for i in range(n): for j in range(n): m[i].append((i*n+j+1)) for i in range(n): print(*m[i])","Давайте я Вам дам подсказку, как можно решить данную задачу: 1. Создайте двумерный массив n x n, заполненный нулями. 2. Определите начальную позицию в левом верхнем углу таблицы. 3. Начните с направления вправо. Для этого установите вектор движения, например, dx = 1, dy = 0. 4. Идите по спирали, заполняя ячейки числами от 1 до n^2. Каждый раз, когда вы заполняете ячейку, двигайтесь в текущем направлении. 5. Если следующая ячейка выходит за границы массива или уже заполнена, измените направление движения. Порядок изменения направления следующий: сначала вправо, потом вниз, затем влево и вверх. 6. Продолжайте этот процесс, пока не заполните всю таблицу. При изменении направления используйте правило ""правой руки"" — если вы не можете двигаться прямо, поверните направо. Если путь вправо тоже заблокирован, продолжайте поворачивать на 90 градусов, пока не сможете сделать следующий шаг."
340,"не проходит почему-то def spiral(n): dx,dy = 1,0 x,y = 0,0 myarray = [[None]* n for j in range(n)] for i in range(1,n**2+1): myarray[x][y] = i nx,ny = x+dx, y+dy if 0<=nx<n and 0<=ny<n and myarray[nx][ny] == None: x,y = nx,ny else: dx,dy = -dy,dx x,y = x+dx, y+dy return myarray def printspiral(myarray): n = range(len(myarray)) for y in n: for x in n: print (myarray[x][y],end=' ') print() n = int(input()) printspiral(spiral(n))","Виктория, добрый день! Приносим свои извинения за долго ожидание. Решение работает отлично! Однако бот не принимает из-за проблемы, с которой мы в с Вами уже сталкивались - пробелы в конце каждой строки. При выводе последнего элемента пробел не нужен)"
341,"def f(s, s2): arr = [] for x in s: if x in s2: arr.append(x) if len(arr) == 0: return """" else: return ("" "".join(arr)) print(f(""kpVxLVsstFa"", ""Lkjm""))","Вам требуется заслать в код только саму функцию без её вызова, то есть def f(s, s2): arr = [] for x in s: if x in s2: arr.append(x) if len(arr) == 0: return """" else: return ("" "".join(arr))"
342,"да, я уже поняла) спасибо не понимаю рекурсию написала вроде смысл есть а ответ не тот def f(a): if a < 0: return 0 else: print(a) return f(a/7) print(f(80))",Какую задачу Вы решаете?
343,"Задание 2 из 11 Условие Напишите рекурсивную функцию с именем ""f"", которая принимает число n, и выведет все числа от n до 0, которые делятся на 7, в одну строку через пробел Вызов функции print(f(80)) Выходные данные 77 70 63 56 49 42 35 28 21 14 7 0 def f(a): if a < 0: return 0 else: print(a) return f(a/7) print(f(80))","В функции нужно проверить, делится ли n на 7 без остатка; если да, выведите n с пробелом. Затем рекурсивно вызовите f с параметром n-1, продолжая до тех пор, пока n не станет меньше нуля, что будет вашим базовым случаем для остановки рекурсии."
344,"понятно, это просто, а я куда-то в дебри полезла я написала, но не поняла как получается что срез работает с рекурсивной функцией и уменьшается все время на один элемент def f(ls): if not ls: return 0 return ls[0] + f(ls[1:]) т.е вот это - f(ls[1:]) как он в стак попадает на один меньше","Здесь в каждый раз от ls берется часть, начиная со второго элемента. Тем самым ls с каждым вызовом функции обновляется, становится все меньше и меньше. К примеру, ls сначала было «abcd», потом станет «bcd», новый вызов функции, снова отрезает часть, «cd» и так далее. Ведь аргумент в функции будет разным каждый раз, так как подается на один символ меньше каждый раз в рекурсии"
345,"да, кажется поняла, спасибо я не знаю как переделать функцию по геометрической прогрессии в рекурсивную попробовала с numpy не проходит решение import numpy as np def f(x): a = np.log (x) return np.exp (a.mean()) print(f([1, 4, 9, 2, 6, 7, 5, 2, 9, 3, 3, 4, 6, 5])) вот функция по геом прогрессии def f( a=1, b=10): b_first = a b_prev = b_first q = 2 ls = [] ls.append(b_first) for i in range(a, b): b_cur = b_prev*q if b_cur <= b: ls.append(b_cur) b_prev = b_cur return ls",Можете пожалуйста отправить условие задачи?
346,"Условие Напишите рекурсивную функцию с именем ""f"", которая находит среднее геометрическое всех чисел в списке с вложенными подсписками. Вызов функции print(f([1, 4, 9, 2, 6, 7, 5, 2, 9, 3, 3, 4, 6, 5])) Выходные данные я кажется перепутала геометрическую прогрессию с со средней геометрической",Нужна подсказка?)
347,"пока нет я сделала вот так. но у меня не проходит def f(ls): if not ls: return 1 return ls[0] * f(ls[1:]) def lens(ls): return len(ls) a = f([1, 4, 9, 2, 6, 7, 5, 2, 9, 3, 3, 4, 6, 5]) b = lens([1, 4, 9, 2, 6, 7, 5, 2, 9, 3, 3, 4, 6, 5]) def root(a,b): return pow(a,1/b) print(root(a, b)) попробовала вот так еще def f(ls): if not ls: return 1 lens = len(ls) return pow((ls[0] * f(ls[1:])), 1/lens) 1 выдает вот так тоже не работает def f(ls): if not ls: return 1 global lens lens = len(ls) return (ls[0] * f(ls[1:])) a = pow((f([1, 4, 9, 2, 6, 7, 5, 2, 9, 3, 3, 4, 6, 5])), 1/lens) print(a)","В данной задаче потребуется создать две функции. Первая функция, к примеру, rec , которая является рекурсивной и будет перемножать все элементы. А вторая функция - f , которая будет вызывать rec , брать корень от результата и далее возвращать полученное число"
348,"у меня почему-то выходит деление на ноль хотя проверяла там число больше нуля def rec(ls): if not ls: return 1 return ls[0] * f(ls[1:]) def f(ls): a = len(ls) if a > 0: return pow(rec(ls), 1 /a ) return 0 print(f([1, 4, 9, 2, 6, 7, 5, 2, 9, 3, 3, 4, 6, 5]))","... return ls[0] * rec (ls[1:]) Ох Короче говоря, rec в рекурсивном случае должно быть) А у Вас f"
349,ну вот он в рекурсивном def rec(ls): if not ls: return 1 return ls[0] * f(ls[1:]),"* f(ls[1:]) Вот здесь, ведь нам надо повторять rec(ls[1:])"
350,"а точно я ошиблась там смотрю как баран на новые ворота, все проверила вручную, а надо было дебагом","Да, именно! Это отличный подход, когда программа работает неверно. Чем больше будет становиться программа - тем сложнее будет её проверять. А используя дебаг, её можно остановить в нужном месте и уже посмотреть, где именно она допускает ошибку"
351,"у меня есть thonny не понимаю почему не проверила с ним, pycharm не ставится диск заполнен на fedora",Тоже хороший вариант IDE
352,да я сталкнулась с ошибкой не понимаю как ее решить def f(n): res = [int(x) for x in str(n)] if not res: return 1 return res[0] + f(res[1:]) ValueError: invalid literal for int() with base 10: '[',"В рекурсии вы вызываете функцию, подавая в нее список res[1:] Этот список становится переменой n, а потом вы преобразуете список в строку И получается следующая строка «[1, 2, 3]», где символы [, ] и запятые тоже являются символами строки"
353,понятно),Немного измените структуру функции и все заработает)
354,def f(n): ls = [] for i in str(n): if i.isdigit(): ls.append(int(i)) if not ls: return 0 return ls[0] + f(ls[1:]) вот готово,Заработало?
355,"да может подскажете как убрать None def f(ls): def func3(x): for i in range(len(ls)): if ls[i] == x: print(i, end="" "") return return func3 g=f([2, 2, 6, 9, 4, 2, 1, 8, 9, 3, 6, 9, 5, 3, 8, 4, 2, 3, 3]) m = g(2) print(m) вот условия Задание 3 из 3 Условие Напишите фабричную функцию с именем f, которая принимает один аргумент – список. Вложенная функция должна принимать один аргумент x и возвращает все позиции (индексы) списка, в которых находится элемент x, через пробел. Если таких индексов нет, вывести -1 Вызов функции g=f([2, 2, 6, 9, 4, 2, 1, 8, 9, 3, 6, 9, 5, 3, 8, 4, 2, 3, 3]) m = g(2) print(m) Выходные данные 0 1 5 16 я убрала нон def f(ls): def func3(x): arr = [] for i in range(len(ls)): if ls[i] == x: arr.append(i) return "" "".join(list(map(str, arr))) return func3 но у меня тест 2 не проходит","Обратите внимание на условие: Если таких индексов нет, вывести -1"
356,"блин точно, не все учла не пропускает почему-то def f(x): def func3(n): arr = [] for i in range(n+1): arr.append(x) return arr return func3 Задание 3 из 3 Условие Напишите фабричную функцию f(x), которая будет принимать 1 аргумент х, записывать его в список, а во вложенной функции, которая принимает аргумент n, запишет еще n таких элементов x в тот же список. Каждый раз при вызове вложенной функции, необходимо выводить список в консоль. Вызов функции g = f(16) for i in range(1): g(3) Выходные данные [16, 16, 16, 16]","Обратите внимание на условие: Каждый раз при вызове вложенной функции, необходимо выводить список в консоль. Система проверки в боте не выполняет команду print()"
357,я уже даже вывела две функции вместе def f(x): def func3(n): arr = [] for i in range(n+1): arr.append(x) return arr return func3 g = f(16) for i in range(4): print(g(4)) так проходит 2 тест но не проходит первый,Команду print() Вам потребуется вызывать внутри функции
358,я уже пробовала не помогло def f(x): def func3(n): arr = [] for i in range(n+1): arr.append(x) print(arr) return func3,"Для входных данных g = f(16) for i in range(4): g(4) Программа должны выводить: [16, 16, 16, 16, 16] [16, 16, 16, 16, 16, 16, 16, 16, 16] [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16] [16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]"
359,"у меня получилось только def f(x): temp = [] arr = [] def func3(n): for i in range(n+1): arr.append(x) print(arr) temp.append(arr.copy()) return func3 кажется я не годна в программисты, но спасибо за участие","Виктория, Вы очень близки к решению. Ваш прогресс очень большой и тот объем информации, который Вы изучили за столь короткий промежуток времени, это очень круто. У Вас однозначно есть склонность к программированию, а когда возникают сложности, значит есть точка роста. Мы стараемся максимально быть на связи, чтобы помочь справиться со всеми Вашими сложностями! По данной задачи вот немного исправленное Ваше решение: def f(x): temp = [x] def func3(n): temp.extend([x] * n) print(temp) return func3 Функция f(x) определена как фабричная функция, которая принимает один аргумент x . Внутри этой функции создается список temp , содержащий один элемент — значение x . Далее внутри f(x) определяется вложенная функция func3(n) , которая принимает один аргумент n . Когда func3(n) вызывается, она использует метод extend для добавления в список temp еще n элементов, идентичных x . Это достигается умножением списка, содержащего один элемент x , на n , что создает новый список с n копиями элемента x , и затем расширяет исходный список temp этими элементами. После добавления элементов, func3(n) печатает обновленный список temp , позволяя увидеть текущее состояние списка после каждого вызова функции. Функция f(x) возвращает func3 как результат своей работы. Это означает, что после вызова f(x) можно сохранить возвращаемую функцию в переменную и затем вызывать ее с различными значениями n , каждый раз добавляя в список новые элементы и выводя его на печать. Виктория, добрый вечер! 👋 Для улучшения работы сервиса INNOPROG , мы были бы очень рады услышать от вас обратную связь 😊 Не возникло ли у вас в процессе обучения трудностей взаимодействия с платформой? 🕹 Планируете ли вы обучаться на нашей платформе дальше? Если нет, то также были бы рады получить от вас обратную связь 👨‍💻 Как вы оцениваете методику обучения на нашей платформе (от 1 до 10)? 🧠"
360,10,"Виктория, планируете ли вы обучаться на нашей платформе дальше? Если нет, то также были бы рады получить от вас обратную связь 👨‍💻"
361,"да, планирую, хоть и трудно, много приходится гуглить, но обратная связь не дает совсем все забросить а у меня ошибка!",В чем ошибка?
362,"а точнее не ошибка, а я только поняла, что пилот не на месяц а на 7 дней( а получается я могу продлить подписку еще на 7 дней?","Да, вы можете продлить подписку на 7 дней. Наша платформа направлена на индивидуальный подход к каждому пользователю (ответы в чатах, индивидуальные занятия с преподавателями, подбор стажировки и компании) 👨‍💻 Виктория, добрый день! 👋 Скажите, пожалуйста, вашу электронную почту, чтобы мы вам смогли выслать сертификат об окончании модуля "" Python начальный "" 😉"
